fischer's_slime_mushroom%1:20:00::	fischer-s_slime_mushroom%1:20:00::
fisherman's_bend%1:06:00::	fisherman-s_bend%1:06:00::
fisherman's_knot%1:06:00::	fisherman-s_knot%1:06:00::
fisherman's_lure%1:06:00::	fisherman-s_lure%1:06:00::
five-point_bishop's_cap%1:20:00::	five-point_bishop-s_cap%1:20:00::
flannery_o'connor%1:18:00::	flannery_o-connor%1:18:00::
florest's_cineraria%1:20:00::	florest-s_cineraria%1:20:00::
florist's_chrysanthemum%1:20:00::	florist-s_chrysanthemum%1:20:00::
florists'_chrysanthemum%1:20:00::	florists-_chrysanthemum%1:20:00::
florist's_gloxinia%1:20:00::	florist-s_gloxinia%1:20:00::
florist's_willow%1:20:00::	florist-s_willow%1:20:00::
fo'c'sle%1:06:00::	fo-c-sle%1:06:00::
fool's_cap%1:06:00::	fool-s_cap%1:06:00::
fool's_errand%1:04:00::	fool-s_errand%1:04:00::
fool's_gold%1:27:00::	fool-s_gold%1:27:00::
fool's_huckleberry%1:20:00::	fool-s_huckleberry%1:20:00::
fool's_paradise%1:26:00::	fool-s_paradise%1:26:00::
fool's_parsley%1:20:00::	fool-s_parsley%1:20:00::
four_o'clock%1:20:00::	four_o-clock%1:20:00::
four-o'clock_family%1:20:00::	four-o-clock_family%1:20:00::
francoise_d'aubigne%1:18:00::	francoise_d-aubigne%1:18:00::
frankenstein's_monster%1:18:00::	frankenstein-s_monster%1:18:00::
friar's-cowl%1:20:00::	friar-s-cowl%1:20:00::
friar's_lantern%1:19:00::	friar-s_lantern%1:19:00::
friedreich's_ataxia%1:26:00::	friedreich-s_ataxia%1:26:00::
frog's-bit%1:20:00::	frog-s-bit%1:20:00::
frog's-bit_family%1:20:00::	frog-s-bit_family%1:20:00::
frog's_lettuce%1:20:00::	frog-s_lettuce%1:20:00::
frost's_bolete%1:20:00::	frost-s_bolete%1:20:00::
fuller's_earth%1:27:00::	fuller-s_earth%1:27:00::
fuller's_teasel%1:20:00::	fuller-s_teasel%1:20:00::
gangster's_moll%1:18:00::	gangster-s_moll%1:18:00::
garageman's_lien%1:21:00::	garageman-s_lien%1:21:00::
gardener's_delight%1:20:00::	gardener-s_delight%1:20:00::
gardener's_garters%1:20:00::	gardener-s_garters%1:20:00::
gartner's_bacillus%1:05:00::	gartner-s_bacillus%1:05:00::
gaucher's_disease%1:26:00::	gaucher-s_disease%1:26:00::
gay-lussac's_law%1:09:00::	gay-lussac-s_law%1:09:00::
gentleman's-cane%1:20:00::	gentleman-s-cane%1:20:00::
gentleman's_gentleman%1:18:00::	gentleman-s_gentleman%1:18:00::
gentlemen's_agreement%1:10:00::	gentlemen-s_agreement%1:10:00::
give_one's_best%2:41:00::	give_one-s_best%2:41:00::
glauber's_salt%1:27:00::	glauber-s_salt%1:27:00::
glauber's_salts%1:27:00::	glauber-s_salts%1:27:00::
goat's_foot%1:20:00::	goat-s_foot%1:20:00::
goats'_milk%1:13:00::	goats-_milk%1:13:00::
goat's_rue%1:20:01::	goat-s_rue%1:20:01::
goat's_rue%1:20:02::	goat-s_rue%1:20:02::
god's_acre%1:15:00::	god-s_acre%1:15:00::
god's_will%1:26:00::	god-s_will%1:26:00::
god's_wisdom%1:26:00::	god-s_wisdom%1:26:00::
